category,categoryNameVariations,created_at,image_url,last_updated,matched_products_count,name,original_url,price,price_history,product_id,store_id,matched_products
Beverages,"[""beverages"",""drinks"",""juice"",""soda"",""peenay ki cheezain"",""drink"",""sharbat"",""soft drinks"",""energy drinks"",""fruit juice"",""water""]",2025-07-03T23:49:36.266506,https://storage.googleapis.com/qemat-a2a2c.firebasestorage.app/products/Al-Fatah/0033804c-bcf2-4397-9d90-65029ccf2038.jpeg,2025-10-06T20:00:52.316408,0,7 UP MINT LEMONADE BOTTLE 345ML,https://alfatah.pk/products/7-up-mint-lemonade-bottle-345ml,65,"[{""price"": 60, ""timestamp"": ""2025-07-03T23:49:36.266506"", ""is_current"": false}, {""price"": 65.0, ""is_current"": true, ""timestamp"": ""2025-10-06T20:00:52.316117""}]",0033804c-bcf2-4397-9d90-65029ccf2038,Al-Fatah,[]
Cooking Essentials,"[""cooking essentials"",""spices"",""masala"",""salt"",""masalay"",""namak"",""cooking items"",""bawarchi khana"",""whole spices"",""ground spices"",""herbs"",""condiments""]",2025-07-04T00:45:28.903079,https://storage.googleapis.com/qemat-a2a2c.firebasestorage.app/products/Al-Fatah/003c11cf-e296-4763-ac3e-73562f9b1ac5.jpeg,2025-10-06T20:00:52.317221,3,DIPITT PASTA SAUCE 300GM,https://alfatah.pk/products/dipitt-pasta-sauce-300gm,325,"[{""price"": 310, ""timestamp"": ""2025-07-04T00:45:28.903079"", ""is_current"": false}, {""price"": 325.0, ""is_current"": true, ""timestamp"": ""2025-10-06T20:00:52.317115""}]",003c11cf-e296-4763-ac3e-73562f9b1ac5,Al-Fatah,"[""44505203-dac0-46e7-970b-9795be89dd3a"", ""a2b48878-2ed5-47d0-bd28-c790a163cf4e"", ""ab479f49-c8a9-4eae-a22f-78cfc436dc78""]"
Cooking Essentials,"[""cooking essentials"",""spices"",""masala"",""salt"",""masalay"",""namak"",""cooking items"",""bawarchi khana"",""whole spices"",""ground spices"",""herbs"",""condiments""]",2025-07-03T21:54:40.860531,https://storage.googleapis.com/qemat-a2a2c.firebasestorage.app/product_images/a2b48878-2ed5-47d0-bd28-c790a163cf4e_processed.jpg,2025-10-06T20:00:52.319787,19,Dipitt Chipotle Sauce 300GM,https://jalalsons.com.pk/product/dipitt-chipotle-sauce-300gm-178840,434,"[{""price"": 444, ""timestamp"": ""2025-07-03T21:54:40.860531"", ""is_current"": false}, {""price"": 434.0, ""is_current"": true, ""timestamp"": ""2025-10-06T20:00:52.319676""}]",a2b48878-2ed5-47d0-bd28-c790a163cf4e,Jalal Sons,"[""003c11cf-e296-4763-ac3e-73562f9b1ac5"", ""08ca3da8-cc03-471c-a5c2-495a0b3a4903"", ""2d7825f0-136f-4b74-a167-ca09c06a44c4"", ""3bda8018-806c-46be-bdcd-1cfccf3dee6f"", ""53472ac5-7cdc-44d2-9ddd-aab1f52ac4ff"", ""5433ff1e-f5d7-41a8-930f-338ee18672eb"", ""5737fa6c-5699-4a06-9a4a-df84d7c78447"", ""582d16a7-8064-4a48-9d24-fc063ae003cc"", ""644701d1-a625-4485-8119-2f1fb8c291b9"", ""72032637-03f4-48cd-a26f-8aaddcd79680"", ""750fc85f-8dcb-4fd4-8199-c530cc23ae91"", ""8520a9f8-a046-40de-bfc1-4af9e626df30"", ""978f6397-ead9-4ee9-9208-a5394f66d41b"", ""ab479f49-c8a9-4eae-a22f-78cfc436dc78"", ""b09d8786-cc4a-41e2-b99a-67ab41eb9ec9"", ""b594be74-e151-47da-b2b2-cf73d555ffcb"", ""d1208ca0-7d72-454f-abb1-18ca9267232c"", ""e88167f4-93b1-4223-9f15-cc0caf72ca1e"", ""ee4ad755-5075-4da9-9cac-b96ccb75a698""]"
Dairy,"[""dairy"",""cheese"",""butter"",""yogurt"",""dairy products"",""makhan"",""dahi"",""dhai"",""fresh dairy"",""processed cheese"",""cream"",""paneer""]",2025-08-04T18:30:15.683786,https://storage.googleapis.com/qemat-a2a2c.firebasestorage.app/products/Rainbow/0087e023-e9cd-4d14-81cc-a9fa2249626b.jpg,2025-10-06T20:00:52.322191,2,Prema Yogurt Vanilla - 100Gm,https://rainbowcc.com.pk/product/prema-yogurt-vanilla-2147691,99,"[{""price"": 94, ""timestamp"": ""2025-08-04T18:30:15.683786"", ""is_current"": false}, {""price"": 99.0, ""is_current"": true, ""timestamp"": ""2025-10-06T20:00:52.322079""}]",0087e023-e9cd-4d14-81cc-a9fa2249626b,Rainbow,"[""2c587a2c-9f07-41d5-8b4c-20bfc67b160f"", ""53070109-4759-43af-867d-e6845502d6a2""]"
Flour,"[""flour"",""atta"",""wheat flour"",""aata"",""maida"",""gehoon ka atta"",""white flour"",""whole wheat"",""gram flour"",""besan""]",2025-07-03T17:27:30.183133,https://storage.googleapis.com/qemat-a2a2c.firebasestorage.app/products/Metro/003bc85b-2a58-4893-a864-02e6a2b62adb.jpeg,2025-10-06T20:00:52.324649,2,Punjab Atta No.1 10Kg (Pg),https://www.metro-online.pk/detail/cooking-essentials/commodities/flour/punjab-atta-no.1-10kg-(pg)/16446559?categoryName=Search,905,"[{""price"": 765, ""timestamp"": ""2025-07-03T17:27:30.183133"", ""is_current"": false}, {""price"": 905.0, ""is_current"": true, ""timestamp"": ""2025-10-06T20:00:52.324543""}]",003bc85b-2a58-4893-a864-02e6a2b62adb,Metro,"[""05c5dcab-1aa4-409f-8b14-5543530c8f12"", ""8808263e-3c92-410d-9d48-f9c4e9ccffad""]"
